"city,State",percentHouseholdsWithIntAcc,numberHouseholdsW/oIntAcc
"Independence, Missouri",76.8,"11,425"
"Little Rock, Arkansas",76.7,"17,988"
"Pompano Beach, Florida",76.4,"9,686"
"Des Moines, Iowa",76.3,"19,418"
"Clearwater, Florida",76.3,"11,105"
"Lakeland, Florida",76.3,"9,134"
"Victorville, California",76.2,"7,438"
"Athens-Clarke County, Georgia",76,"10,555"
"Louisville/Jefferson, Kentucky",76,"59,480"
"Montgomery, Alabama",76,"18,837"
"Phoenix, Arizona",75.9,"124,822"
"Bridgeport, Connecticut",75.7,"11,714"
"Kansas City, Missouri",75.6,"47,110"
"Grand Rapids, Michigan",75.5,"17,717"
"Amarillo, Texas",75.4,"18,482"
"Houston, Texas",75.1,"202,782"
"Chicago, Illinois",75.1,"256,481"
"Lansing, Michigan",75,"12,255"
"San Antonio, Texas",74.7,"124,833"
"Norwalk, California",74.6,"6,871"
"Inglewood, California",74.6,"9,331"
"Ontario, California",74.5,"12,023"
"Winston-Salem, North Carolina",74.3,"24,140"
"Modesto, California",74.3,"17,843"
"Richmond, Virginia",74.3,"22,666"
"Lancaster, California",74.2,"13,052"
"Columbus, Georgia",74,"18,649"
"Columbia, South Carolina",74,"11,485"
"Indianapolis, Indiana",74,"84,818"
"Peoria, Illinois",73.8,"12,316"
"Tulsa, Oklahoma",73.8,"42,675"
"San Angelo, Texas",73.6,"10,033"
"Rockford, Illinois",73.6,"15,360"
"Topeka, Kansas",73.5,"14,411"
"Wichita, Kansas",73.4,"40,170"
"Davenport, Iowa",73.3,"10,903"
"Pasadena, Texas",73.3,"12,222"
"Fresno, California",73,"43,541"
"Oxnard, California",73,"13,736"
"Savannah, Georgia",72.9,"14,356"
"Knoxville, Tennessee",72.7,"21,881"
"Springfield, Missouri",72.7,"19,678"
"Baton Rouge, Louisiana",72.5,"24,367"
"Stockton, California",72.5,"24,967"
"Elizabeth, New Jersey",72.5,"10,984"
"Lowell, Massachusetts",71.8,"10,869"
"Dallas, Texas",71.5,"135,640"
"Allentown, Pennsylvania",71.5,"11,353"
"Chattanooga, Tennessee",71.4,"19,608"
"West Palm Beach, Florida",71.3,"11,710"
"El Paso, Texas",71.3,"63,047"
"San Bernardino, California",71.2,"16,198"
"Waco, Texas",71.2,"13,450"
"Providence, Rhode Island",71,"17,588"
"Warren, Michigan",70.5,"16,169"
"Augusta-Richmond County, Georgia",70.4,"20,427"
"Philadelphia, Pennsylvania",70.2,"173,795"
"Toledo, Ohio",70.2,"35,363"
"Erie, Pennsylvania",70.1,"12,217"
"Cincinnati, Ohio",69.7,"40,361"
"Pueblo, Colorado",69.7,"12,787"
"Baltimore, Maryland",69.6,"74,116"
"Springfield, Massachusetts",69.4,"16,974"
"Glendale, Arizona",69,"24,628"
"Abilene, Texas",68.9,"13,208"
"Milwaukee, Wisconsin",68.8,"72,129"
"Syracuse, New York",68.8,"17,170"
"North Charleston, South Carolina",68.8,"11,547"
"South Bend, Indiana",68.7,"12,675"
"Akron, Ohio",68.2,"26,112"
"St. Louis, Missouri",68.1,"44,815"
"Shreveport, Louisiana",67.9,"24,934"
"Newark, New Jersey",67.8,"29,992"
"Memphis, Tennessee",67.7,"80,922"
"Buffalo, New York",67.4,"35,679"
"Kansas City, Kansas",67.2,"17,223"
"Mobile, Alabama",66.5,"24,794"
"Waterbury, Connecticut",66.3,"13,421"
"New Orleans, Louisiana",66.2,"53,572"
"Paterson, New Jersey",66,"15,047"
"Rochester, New York",65.9,"29,448"
"Dayton, Ohio",65.8,"20,180"
"Beaumont, Texas",65.6,"15,391"
"Evansville, Indiana",64.7,"17,530"
"New Haven, Connecticut",64.1,"17,939"
